1963,Johannes Kepler,PW,19.00,Conductive Borite,143.00,2728.48,48.00,390172.64,6864.00,472473.60,75436.96
1962,Omar Khayyam,GU,9.00,Stableized Primonite,244.00,2422.26,134.85,591031.44,32903.40,680088.98,56154.14
1830,Alberto Santos-Dumont,VT,13.32,Cyclonite,13.32,13.32,13.32,13.32,13.32,13.32,13.32
1970,Daniel Bernoulli,MD,17.40,Hermeton,77.00,4953.32,88.00,381405.64,6776.00,454172.52,65990.88
8,Paul,Ky,6.25,Tile,6.25,6.25,6.25,6.25,6.25,6.25,6.25
1958,Joseph Banks,NJ,16.40,Gaseous Mesorus,165.00,2610.38,54.00,430712.70,8910.00,509962.33,70339.63
1969,Abu Nasr Al-Farabi,MN,19.27,Non-refractive Etherenium,225.00,1565.00,246.00,352125.00,55350.00,484895.25,77420.25
1957,Ernst Mayr,CA,16.99,Common Halocite,252.00,3793.51,162.27,955964.52,40892.04,1166322.18,169465.62
1968,Arnold Orville Beckman,TX,6.00,Argesium,95.00,4819.24,439.14,457827.80,41718.30,529518.87,29972.77
1966,Ibn Rushd,LA,15.55,Dynagen,293.00,1144.01,198.00,335194.93,58014.00,456122.36,62913.43
1834,Mary Anning,NJ,16.40,Common Dynacite,314.00,52.84,395.00,16591.76,124030.00,22499.48,163121.24
1999,Daniel Bernoulli,MD,17.40,Hermeton,77.00,4953.32,88.00,381405.64,6776.00,454172.52,65990.88
